time,magnitude,longitude,latitude,depth_km,utmx,utmy
23/1/2020 16:07,,101.146463,-1.644981,0.571,738805.9669,9818051.218
23/1/2020 20:43,,101.151638,-1.641891,0.624,739382.3546,9818392.381
23/1/2020 21:21,,101.149089,-1.643991,0.819,739098.3797,9818160.407
23/1/2020 21:32,,101.150498,-1.643992,0.558,739255.2128,9818160.127
23/1/2020 21:33,,101.147877,-1.64363,0.535,738963.5172,9818200.482
23/1/2020 21:33,,101.149254,-1.64251,0.508,739116.9218,9818324.199
23/1/2020 22:30,,101.153593,-1.63697,0.448,739600.5484,9818936.455
24/1/2020 15:26,,101.147389,-1.6437,0.6,738909.1905,9818192.797
24/1/2020 17:33,,101.153331,-1.63939,0.632,739571.0977,9818668.812
24/1/2020 17:59,,101.146401,-1.643509,0.476,738799.2409,9818214.042
24/1/2020 18:33,,101.148575,-1.637964,0.48,739041.8835,9818827.109
24/1/2020 18:57,,101.149815,-1.641653,0.735,739179.4677,9818418.924
24/1/2020 19:01,,101.15578,-1.634362,0.366,739844.291,9819224.664
25/1/2020 3:38,,101.149265,-1.640496,0.434,739118.3857,9818546.964
25/1/2020 3:40,,101.157551,-1.63561,0.27,740041.2713,9819086.411
25/1/2020 4:33,,101.145475,-1.645177,0.136,738695.9714,9818029.657
25/1/2020 16:38,,101.147865,-1.642213,0.398,738962.35,9818357.216
25/1/2020 16:42,,101.146617,-1.642053,0.331,738823.4565,9818375.063
25/1/2020 18:48,,101.148893,-1.641551,0.475,739076.8536,9818430.316
25/1/2020 21:15,,101.148763,-1.640058,0.515,739062.5609,9818595.471
26/1/2020 2:33,,101.155018,-1.63843,0.411,739758.9899,9818774.795
26/1/2020 6:45,,101.155711,-1.637836,0.403,739836.1977,9818840.414
26/1/2020 6:48,,101.153993,-1.639651,0.357,739644.753,9818639.863
26/1/2020 6:52,,101.152737,-1.63502,0.459,739505.4995,9819152.246
26/1/2020 7:02,,101.147,-1.641868,0.408,738866.1095,9818395.48
26/1/2020 13:35,,101.147855,-1.645591,0.627,738960.8349,9817983.58
26/1/2020 13:40,,101.150381,-1.641911,0.541,739242.4375,9818390.319
26/1/2020 16:39,,101.154078,-1.638437,0.437,739654.3588,9818774.133
26/1/2020 16:51,,101.149636,-1.641519,0.688,739159.5595,9818433.767
27/1/2020 2:54,,101.159999,-1.633412,-0.368,740314.0181,9819329.238
27/1/2020 3:00,,101.161464,-1.633662,-0.47,740477.0569,9819301.411
27/1/2020 13:04,,101.154095,-1.640699,0.308,739655.9817,9818523.932
27/1/2020 13:30,,101.139553,-1.643754,0.384,738036.9765,9818187.761
27/1/2020 13:32,,101.157013,-1.639974,0.342,739980.8673,9818603.775
27/1/2020 13:56,,101.149322,-1.645539,0.4,739124.13,9817989.156
27/1/2020 13:57,,101.14548,-1.645668,-0.183,738696.4695,9817975.348
27/1/2020 14:03,,101.150671,-1.643417,0.78,739274.5376,9818223.707
27/1/2020 18:05,,101.155566,-1.640844,0.365,739819.6996,9818507.718
28/1/2020 3:21,,101.139843,-1.645784,0.146,738069.0149,9817963.191
28/1/2020 4:20,,101.146479,-1.644234,0.4,738807.8367,9818133.841
28/1/2020 4:30,,101.158994,-1.640714,0.182,740201.2822,9818521.685
28/1/2020 4:46,,101.149959,-1.640529,0.569,739195.6298,9818543.231
28/1/2020 4:52,,101.144289,-1.646032,0.679,738563.8587,9817935.229
28/1/2020 17:23,,101.15422,-1.639791,0.536,739670.0035,9818624.351
29/1/2020 13:32,,101.150172,-1.645022,0.477,739218.8036,9818046.239
29/1/2020 13:33,,101.148995,-1.646957,0.234,739087.5632,9817832.351
29/1/2020 14:02,,101.149267,-1.641862,0.617,739118.4459,9818395.872
30/1/2020 2:55,,101.159639,-1.637056,-0.331,740273.5129,9818926.219
31/1/2020 2:18,,101.149174,-1.644162,0.597,739107.8205,9818141.482
31/1/2020 3:43,,101.151492,-1.640466,0.72,739366.2731,9818550.016
31/1/2020 21:09,,101.147599,-1.644433,0.558,738932.478,9818111.696
31/1/2020 21:09,,101.14831,-1.645291,0.754,739011.5158,9818016.708
31/1/2020 21:11,,101.152556,-1.641744,0.504,739484.5533,9818408.53
31/1/2020 21:13,,101.153895,-1.640533,0.34,739633.7398,9818542.318
31/1/2020 21:13,,101.152052,-1.643114,0.636,739428.2906,9818257.056
1/2/2020 3:21,,101.15332,-1.645087,0.059,739569.1943,9818038.671
1/2/2020 14:50,,101.151151,-1.643524,0.716,739327.9529,9818211.814
1/2/2020 16:15,,101.153919,-1.635635,0.746,739636.9937,9819084.08
2/2/2020 1:44,,101.154088,-1.6405,0.419,739655.2263,9818545.945
2/2/2020 12:44,,101.159499,-1.635234,0.218,740258.1466,9819127.767
2/2/2020 18:16,,101.15352,-1.642087,0.189,739591.8139,9818370.475
3/2/2020 9:08,,101.159102,-1.641475,-0.319,740213.2127,9818437.498
3/2/2020 9:17,,101.157506,-1.638732,0.298,740035.8907,9818741.093
3/2/2020 9:31,,101.16067,-1.636657,0.423,740388.3204,9818970.229
3/2/2020 11:29,,101.151508,-1.642016,0.651,739367.8696,9818378.57
3/2/2020 11:47,,101.157246,-1.63824,0.672,740007.009,9818795.544
3/2/2020 11:55,,101.14562,-1.65421,-0.13625,738711.0334,9817030.509
3/2/2020 12:14,,101.142714,-1.64641,0.25,738388.5042,9817893.607
3/2/2020 12:21,,101.140813,-1.641775,0.678,738177.4586,9818406.505
3/2/2020 12:46,,101.13963,-1.64363,0.19617,738045.5619,9818201.467
3/2/2020 12:55,,101.145731,-1.643563,0.516,738724.6582,9818208.149
3/2/2020 12:57,,101.147053,-1.643915,0.471,738871.7654,9818169.057
3/2/2020 13:02,,101.14682,-1.644635,0.681,738845.745,9818089.446
3/2/2020 13:04,,101.146169,-1.643911,0.582,738773.3697,9818169.605
3/2/2020 13:13,,101.145797,-1.645069,0.348,738731.8254,9818041.564
3/2/2020 13:33,,101.15591,-1.644876,0.317,739857.5085,9818061.698
3/2/2020 14:03,,101.143131,-1.647963,0.542,738434.7347,9817721.782
3/2/2020 14:04,,101.14385,-1.647337,0.43,738514.8394,9817790.937
3/2/2020 14:13,,101.146965,-1.643926,0.609,738861.969,9818167.851
3/2/2020 14:19,,101.145098,-1.642481,0.538,738654.3288,9818327.904
4/2/2020 9:09,,101.148726,-1.645535,0.567,739057.7909,9817989.67
4/2/2020 9:25,,101.157596,-1.640119,0.606,740045.7432,9818587.666
4/2/2020 12:47,,101.15562,-1.640925,0.303,739825.7007,9818498.752
