event_id,station_id,timestamp,prob,type
2191,ML01,37:11.6,0.8744307,P
2191,ML01,37:12.3,0.63843346,S
2192,ML01,25:44.1,0.95188314,P
2192,ML01,25:44.5,0.5169846,S
2193,ML01,34:40.9,0.9513713,P
2193,ML01,34:41.4,0.6342782,S
2195,ML01,03:33.8,0.97643036,P
2195,ML01,03:34.8,0.7649441,S
2197,ML01,12:23.8,0.41995442,P
2197,ML01,12:25.6,0.6114073,S
2205,ML01,33:46.5,0.98400223,P
2205,ML01,33:47.8,0.8712055,S
2211,ML01,36:40.6,0.132957,P
2211,ML01,36:41.2,0.11107359,P
2211,ML01,36:42.6,0.26599166,S
2211,ML01,36:43.2,0.19282867,S
2212,ML01,02:06.7,0.4945274,P
2212,ML01,02:07.3,0.64519066,S
2213,ML01,22:36.8,0.7538455,P
2213,ML01,22:40.3,0.55110264,S
2213,ML01,22:40.4,0.110669084,P
2216,ML01,57:02.7,0.96028733,P
2216,ML01,57:03.9,0.3830332,S
2217,ML01,58:47.2,0.28086764,P
2217,ML01,58:47.1,0.49932963,S
2223,ML01,24:31.0,0.49155256,P
2223,ML01,24:33.3,0.5067847,S
2226,ML01,46:37.9,0.9424021,P
2226,ML01,46:39.4,0.7372244,S
2229,ML01,26:30.2,0.4696533,P
2229,ML01,26:31.8,0.1408868,S
2243,ML01,10:33.6,0.6496348,P
2243,ML01,10:35.6,0.581193,S
2244,ML01,55:17.8,0.2828279,S
2244,ML01,55:17.7,0.1892702,P
2255,ML01,04:56.7,0.9015748,P
2255,ML01,04:57.5,0.42873573,S
2256,ML01,53:16.7,0.10482431,S
2257,ML01,49:22.4,0.37254152,P
2257,ML01,49:24.6,0.2402844,S
2261,ML01,02:35.9,0.9606545,P
2261,ML01,02:37.2,0.93727326,S
2262,ML01,04:33.8,0.9562309,P
2262,ML01,04:35.1,0.8465078,S
2266,ML01,22:11.9,0.9608804,P
2266,ML01,22:13.2,0.8096393,S
2276,ML01,51:19.3,0.8340125,P
2276,ML01,51:21.5,0.73369366,S
2277,ML01,57:07.3,0.84480655,P
2277,ML01,57:07.8,0.19945724,S
2278,ML01,20:25.2,0.25216898,S
2278,ML01,20:25.1,0.6472647,P
2278,ML01,20:26.2,0.113230936,S
2280,ML01,57:54.3,0.32237205,P
2280,ML01,57:54.5,0.20990528,S
2297,ML01,00:20.0,0.70791566,P
2297,ML01,00:21.6,0.23699938,S
2302,ML01,13:43.6,0.9748556,P
2302,ML01,13:44.7,0.1250048,S
2303,ML01,13:43.6,0.97514856,P
2303,ML01,13:44.7,0.13192454,S
