id,timestamp,prob,type,filename
RD02,2024-11-01 00:17:52.330,0.114252016,P,RD02_(B268)_RD_20241101_000000
RD02,2024-11-01 00:17:53.310,0.13689364,P,RD02_(B268)_RD_20241101_000000
RD12,2024-11-01 00:45:10.000,0.34751526,P,RD12_(B243)_RD_20241101_000000
RD12,2024-11-01 00:45:20.110,0.3256089,S,RD12_(B243)_RD_20241101_000000
RD12,2024-11-01 00:47:48.090,0.109129556,P,RD12_(B243)_RD_20241101_000000
RD12,2024-11-01 00:47:53.090,0.11791838,S,RD12_(B243)_RD_20241101_000000
RD11,2024-11-01 01:32:35.990,0.10338502,P,RD11_(B232)_RD_20241101_010000
RD11,2024-11-01 01:32:38.020,0.25335473,P,RD11_(B232)_RD_20241101_010000
RD11,2024-11-01 01:32:54.450,0.2917244,S,RD11_(B232)_RD_20241101_010000
RD01,2024-11-01 02:21:32.560,0.19506882,S,RD01_(B144)_RD_20241101_020000
RD14,2024-11-01 02:56:05.980,0.32305273,P,RD14_(B158)_RD_20241101_020000
RD14,2024-11-01 02:57:05.520,0.8238349,S,RD14_(B158)_RD_20241101_020000
RD03,2024-11-01 03:47:37.980,0.5078496,P,RD03_(B157)_RD_20241101_030000
RD03,2024-11-01 03:47:45.130,0.195739,S,RD03_(B157)_RD_20241101_030000
RD12,2024-11-01 03:35:36.020,0.7515065,P,RD12_(B243)_RD_20241101_030000
RD12,2024-11-01 03:35:42.240,0.40858388,S,RD12_(B243)_RD_20241101_030000
RD12,2024-11-01 03:36:36.000,0.407748,P,RD12_(B243)_RD_20241101_030000
RD12,2024-11-01 03:36:36.960,0.15535933,P,RD12_(B243)_RD_20241101_030000
RD12,2024-11-01 03:36:56.270,0.44576797,S,RD12_(B243)_RD_20241101_030000
RD01,2024-11-01 04:54:18.730,0.20667773,P,RD01_(B144)_RD_20241101_040000
RD01,2024-11-01 04:54:34.580,0.2485592,S,RD01_(B144)_RD_20241101_040000
RD04,2024-11-01 04:54:18.680,0.12905687,P,RD04_(B4BD)_RD_20241101_040000
RD04,2024-11-01 04:54:34.880,0.37706557,S,RD04_(B4BD)_RD_20241101_040000
RD08,2024-11-01 04:49:36.670,0.6359479,S,RD08_(B264)_RD_20241101_040000
RD13,2024-11-01 04:40:05.990,0.27414262,P,RD13_(B242)_RD_20241101_040000
RD13,2024-11-01 04:40:14.460,0.13449688,S,RD13_(B242)_RD_20241101_040000
RD03,2024-11-01 05:31:09.010,0.6710176,P,RD03_(B157)_RD_20241101_050000
RD03,2024-11-01 05:31:16.890,0.24332868,S,RD03_(B157)_RD_20241101_050000
RD01,2024-11-01 06:34:44.260,0.18447089,P,RD01_(B144)_RD_20241101_060000
RD12,2024-11-01 06:27:53.320,0.35510296,S,RD12_(B243)_RD_20241101_060000
RD02,2024-11-01 07:23:02.240,0.13329826,S,RD02_(B268)_RD_20241101_070000
RD04,2024-11-01 07:21:46.380,0.21629511,S,RD04_(B4BD)_RD_20241101_070000
RD12,2024-11-01 07:06:55.060,0.31749317,S,RD12_(B243)_RD_20241101_070000
RD12,2024-11-01 07:26:36.970,0.4794657,P,RD12_(B243)_RD_20241101_070000
RD12,2024-11-01 07:26:42.280,0.36287653,S,RD12_(B243)_RD_20241101_070000
RD12,2024-11-01 07:28:41.170,0.24724023,P,RD12_(B243)_RD_20241101_070000
RD12,2024-11-01 07:29:00.790,0.22182836,S,RD12_(B243)_RD_20241101_070000
RD12,2024-11-01 07:30:28.180,0.3616598,S,RD12_(B243)_RD_20241101_070000
RD12,2024-11-01 07:49:57.330,0.4289348,P,RD12_(B243)_RD_20241101_070000
RD12,2024-11-01 07:50:05.370,0.62852514,S,RD12_(B243)_RD_20241101_070000
RD12,2024-11-01 07:56:07.930,0.23297454,P,RD12_(B243)_RD_20241101_070000
RD12,2024-11-01 07:56:16.400,0.5672854,S,RD12_(B243)_RD_20241101_070000
RD02,2024-11-01 09:56:35.910,0.13158953,P,RD02_(B268)_RD_20241101_090000
RD02,2024-11-01 09:57:03.490,0.16058739,S,RD02_(B268)_RD_20241101_090000
RD12,2024-11-01 09:45:06.800,0.60250455,P,RD12_(B243)_RD_20241101_090000
RD12,2024-11-01 09:45:13.920,0.44565415,S,RD12_(B243)_RD_20241101_090000
RD12,2024-11-01 09:45:52.730,0.124856144,S,RD12_(B243)_RD_20241101_090000
RD02,2024-11-01 10:42:55.860,0.46004662,P,RD02_(B268)_RD_20241101_100000
RD02,2024-11-01 10:43:06.500,0.22430047,S,RD02_(B268)_RD_20241101_100000
RD08,2024-11-01 11:20:05.950,0.18254663,P,RD08_(B264)_RD_20241101_110000
RD12,2024-11-01 11:51:38.150,0.116914086,P,RD12_(B243)_RD_20241101_110000
RD12,2024-11-01 11:51:41.120,0.5746667,S,RD12_(B243)_RD_20241101_110000
RD03,2024-11-01 12:01:35.030,0.147048,P,RD03_(B157)_RD_20241101_120000
RD12,2024-11-01 13:42:25.050,0.11224491,S,RD12_(B243)_RD_20241101_130000
RD04,2024-11-01 14:56:41.250,0.20252879,P,RD04_(B4BD)_RD_20241101_140000
RD04,2024-11-01 14:56:42.400,0.76863754,S,RD04_(B4BD)_RD_20241101_140000
RD04,2024-11-01 15:10:16.670,0.8865662,P,RD04_(B4BD)_RD_20241101_150000
RD04,2024-11-01 15:10:17.360,0.8803711,S,RD04_(B4BD)_RD_20241101_150000
RD04,2024-11-01 15:16:10.990,0.13567576,S,RD04_(B4BD)_RD_20241101_150000
RD12,2024-11-01 15:29:07.820,0.114020295,P,RD12_(B243)_RD_20241101_150000
RD12,2024-11-01 15:29:12.900,0.1690497,S,RD12_(B243)_RD_20241101_150000
RD01,2024-11-01 19:28:13.920,0.69646686,P,RD01_(B144)_RD_20241101_190000
RD01,2024-11-01 19:28:29.550,0.22416432,S,RD01_(B144)_RD_20241101_190000
RD02,2024-11-01 19:28:14.680,0.24024789,P,RD02_(B268)_RD_20241101_190000
RD02,2024-11-01 19:28:30.770,0.41144496,S,RD02_(B268)_RD_20241101_190000
RD04,2024-11-01 19:28:14.100,0.6424261,P,RD04_(B4BD)_RD_20241101_190000
RD04,2024-11-01 19:28:30.800,0.3517564,S,RD04_(B4BD)_RD_20241101_190000
RD05,2024-11-01 19:28:13.460,0.3842794,P,RD05_(B13C)_RD_20241101_190000
RD05,2024-11-01 19:28:30.080,0.2173795,S,RD05_(B13C)_RD_20241101_190000
RD06,2024-11-01 19:28:13.200,0.16258486,P,RD06_(B269)_RD_20241101_190000
RD06,2024-11-01 19:28:29.790,0.6302656,S,RD06_(B269)_RD_20241101_190000
RD09,2024-11-01 19:28:13.040,0.23233859,P,RD09_(B4AE)_RD_20241101_190000
RD09,2024-11-01 19:28:29.540,0.23463793,S,RD09_(B4AE)_RD_20241101_190000
RD10,2024-11-01 19:28:11.830,0.11754631,P,RD10_(B240)_RD_20241101_190000
RD10,2024-11-01 19:28:29.170,0.37275997,S,RD10_(B240)_RD_20241101_190000
RD11,2024-11-01 19:28:12.970,0.5020006,P,RD11_(B232)_RD_20241101_190000
RD11,2024-11-01 19:28:29.140,0.6109464,S,RD11_(B232)_RD_20241101_190000
RD12,2024-11-01 19:09:35.030,0.7107567,P,RD12_(B243)_RD_20241101_190000
RD12,2024-11-01 19:09:49.470,0.116633214,S,RD12_(B243)_RD_20241101_190000
RD14,2024-11-01 19:28:13.520,0.14223327,P,RD14_(B158)_RD_20241101_190000
RD14,2024-11-01 19:28:29.190,0.43144813,S,RD14_(B158)_RD_20241101_190000
RD01,2024-11-01 23:07:46.450,0.12833014,S,RD01_(B144)_RD_20241101_230000
RD12,2024-11-01 23:41:05.000,0.37971255,P,RD12_(B243)_RD_20241101_230000
RD12,2024-11-01 23:41:05.980,0.24265294,P,RD12_(B243)_RD_20241101_230000
RD12,2024-11-01 23:41:33.950,0.2929044,S,RD12_(B243)_RD_20241101_230000
RD01,2024-11-02 01:29:05.260,0.888809,P,RD01_(B144)_RD_20241102_010000
RD01,2024-11-02 01:29:06.010,0.8627554,S,RD01_(B144)_RD_20241102_010000
RD01,2024-11-02 01:29:10.390,0.41221613,P,RD01_(B144)_RD_20241102_010000
RD01,2024-11-02 01:29:11.070,0.60271144,S,RD01_(B144)_RD_20241102_010000
RD01,2024-11-02 01:34:30.400,0.89750266,P,RD01_(B144)_RD_20241102_010000
RD01,2024-11-02 01:34:31.120,0.8769925,S,RD01_(B144)_RD_20241102_010000
RD01,2024-11-02 01:42:44.830,0.22356696,P,RD01_(B144)_RD_20241102_010000
RD02,2024-11-02 01:34:30.270,0.5136229,P,RD02_(B268)_RD_20241102_010000
RD02,2024-11-02 01:34:30.820,0.15811382,S,RD02_(B268)_RD_20241102_010000
RD04,2024-11-02 01:21:30.630,0.13487451,P,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:21:32.690,0.13811064,S,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:23:34.140,0.21605958,P,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:23:39.410,0.57700294,S,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:29:05.160,0.9083265,P,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:29:05.740,0.8654267,S,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:29:10.340,0.6316017,P,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:29:10.810,0.77967995,S,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:34:30.310,0.9031669,P,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:34:30.860,0.905305,S,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:35:11.150,0.8524213,P,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:35:11.730,0.85955256,S,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:44:51.270,0.19037566,P,RD04_(B4BD)_RD_20241102_010000
RD04,2024-11-02 01:44:51.890,0.12787957,S,RD04_(B4BD)_RD_20241102_010000
RD06,2024-11-02 01:34:30.790,0.1270337,P,RD06_(B269)_RD_20241102_010000
RD08,2024-11-02 01:33:38.970,0.123762466,P,RD08_(B264)_RD_20241102_010000
RD08,2024-11-02 01:33:43.020,0.47361168,P,RD08_(B264)_RD_20241102_010000
RD08,2024-11-02 01:33:48.320,0.568293,S,RD08_(B264)_RD_20241102_010000
RD01,2024-11-02 02:34:35.000,0.28514686,P,RD01_(B144)_RD_20241102_020000
RD01,2024-11-02 02:35:04.280,0.36893722,S,RD01_(B144)_RD_20241102_020000
RD02,2024-11-02 02:18:57.470,0.78000057,P,RD02_(B268)_RD_20241102_020000
RD02,2024-11-02 02:19:10.120,0.20793925,S,RD02_(B268)_RD_20241102_020000
RD02,2024-11-02 02:34:37.970,0.5679969,P,RD02_(B268)_RD_20241102_020000
RD02,2024-11-02 02:35:06.870,0.28874987,S,RD02_(B268)_RD_20241102_020000
RD04,2024-11-02 02:20:28.140,0.1987836,P,RD04_(B4BD)_RD_20241102_020000
RD04,2024-11-02 02:20:39.190,0.2671816,S,RD04_(B4BD)_RD_20241102_020000
RD04,2024-11-02 02:34:35.000,0.6991303,P,RD04_(B4BD)_RD_20241102_020000
RD04,2024-11-02 02:35:03.630,0.24652588,S,RD04_(B4BD)_RD_20241102_020000
RD01,2024-11-02 03:49:00.100,0.7447738,P,RD01_(B144)_RD_20241102_030000
RD01,2024-11-02 03:49:03.730,0.6784289,S,RD01_(B144)_RD_20241102_030000
RD02,2024-11-02 03:00:37.930,0.72173643,P,RD02_(B268)_RD_20241102_030000
RD02,2024-11-02 03:00:40.560,0.5370984,S,RD02_(B268)_RD_20241102_030000
RD04,2024-11-02 03:00:35.000,0.92488325,P,RD04_(B4BD)_RD_20241102_030000
RD04,2024-11-02 03:00:38.020,0.7417729,S,RD04_(B4BD)_RD_20241102_030000
RD12,2024-11-02 03:44:35.980,0.4528856,P,RD12_(B243)_RD_20241102_030000
RD14,2024-11-02 03:00:33.830,0.3922348,P,RD14_(B158)_RD_20241102_030000
RD14,2024-11-02 03:00:36.160,0.7482919,S,RD14_(B158)_RD_20241102_030000
RD02,2024-11-02 04:45:35.000,0.15174817,P,RD02_(B268)_RD_20241102_040000
RD02,2024-11-02 04:45:35.960,0.1371759,P,RD02_(B268)_RD_20241102_040000
RD02,2024-11-02 04:45:37.960,0.12329481,P,RD02_(B268)_RD_20241102_040000
RD02,2024-11-02 04:46:13.930,0.23484834,S,RD02_(B268)_RD_20241102_040000
RD03,2024-11-02 04:13:19.930,0.11769856,P,RD03_(B157)_RD_20241102_040000
RD03,2024-11-02 04:13:30.880,0.19087307,S,RD03_(B157)_RD_20241102_040000
RD11,2024-11-02 04:49:05.000,0.26473084,P,RD11_(B232)_RD_20241102_040000
RD11,2024-11-02 04:49:05.990,0.26476568,P,RD11_(B232)_RD_20241102_040000
RD11,2024-11-02 04:53:11.250,0.15329364,S,RD11_(B232)_RD_20241102_040000
RD01,2024-11-02 05:14:37.890,0.10379186,P,RD01_(B144)_RD_20241102_050000
RD03,2024-11-02 05:01:35.970,0.16018853,P,RD03_(B157)_RD_20241102_050000
