time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth_km
2020-10-01T00:00:30.486,999,0.389,0,0,31.000,12,6,6,1,10.583,14.482,23.543,-115.569,33.054,23.543
2020-10-01T00:01:53.313,999,0.534,0,0,26.000,16,8,8,0,12.870,13.027,11.174,-115.545,33.041,11.174
2020-10-01T00:01:06.583,999,0.484,0,0,41.223,15,9,6,3,3.350,20.811,20.166,-115.646,33.111,20.166
2020-10-01T00:01:22.396,999,0.604,0,0,11.767,10,6,4,4,26.181,-63.162,30.724,-115.404,32.353,30.724
2020-10-01T00:02:23.211,999,0.494,0,0,63.000,20,9,11,2,5.366,20.260,0.105,-115.625,33.106,0.105
