id,timestamp,prob,type,amp,event_index,gamma_score
CI.SWS.,2020-10-01T00:01:10.900000,0.43486422,P,3.166849269621911e-09,3,0.007296785825665905
CI.SWS.,2020-10-01T00:01:14.090000,0.7313013,S,9.043131686241789e-09,3,0.003964620900047701
CI.SWS.,2020-10-01T00:01:59.470000,0.7216845,S,5.001428001743985e-09,0,0.07616963646948459
CI.SWS.,2020-10-01T00:02:26.140000,0.22870153,P,1.1986703641868795e-08,2,0.016024737964945267
CI.SWS.,2020-10-01T00:02:29.030000,0.5450381,S,9.164386574197276e-09,2,0.013036065149627817
CI.WES.,2020-10-01T00:02:33.500000,0.12650569,S,1.3872373387219821e-08,2,0.04479752927721276
CI.WMD.,2020-10-01T00:02:24.770000,0.9079074,S,8.22845537803069e-07,2,0.009939960709463734
CI.YUH2.,2020-10-01T00:00:39.100000,0.910028,P,1.654477040931053e-10,1,0.09041349342635885
CI.YUH2.,2020-10-01T00:01:15.890000,0.90530854,P,6.464521639539343e-10,3,0.010175805885886662
CI.YUH2.,2020-10-01T00:01:31.780000,0.5674645,P,2.2900918073623372e-09,4,0.001220719893246487
CI.YUH2.,2020-10-01T00:01:38.430000,0.6340884,S,2.5909304332234702e-09,4,0.018754453373527703
CI.YUH2.,2020-10-01T00:02:01.260000,0.90372854,P,6.502259245067194e-10,0,0.0496303368855088
CI.YUH2.,2020-10-01T00:02:08.190000,0.6617383,S,8.898581590778288e-11,0,0.01017109739486945
CI.YUH2.,2020-10-01T00:02:30.850000,0.76398325,P,3.994211559677494e-09,2,0.0036811127774059845
CI.YUH2.,2020-10-01T00:02:37.390000,0.6474166,S,7.262515623613598e-09,2,0.05107328530211352
