id,origin_time,lon,lat,depth,magnitude,CID,elevation_m,remarks
53,2024-11-25 02:14:13.460,103.352501,-4.2401,-1.0,0.0,1,1000.0,Reloc
54,2024-11-25 03:57:35.560,103.407402,-4.2072,0.20999999999999996,0.0,1,-209.99999999999997,Reloc
55,2024-11-25 13:26:11.410,103.400391,-4.219447,0.4750000000000001,0.0,1,-475.0000000000001,WCC
56,2024-11-25 16:18:59.160,103.360156,-4.245121,-0.32899999999999996,0.0,1,328.99999999999994,WCC
58,2024-11-26 22:12:25.280,103.363534,-4.24456,-0.4179999999999999,0.0,1,417.99999999999994,WCC
59,2024-11-27 14:54:41.260,103.357072,-4.242325,-0.43300000000000005,0.0,1,433.00000000000006,WCC
60,2024-11-27 15:12:24.170,103.343563,-4.240734,-1.018,0.0,1,1018.0,WCC
61,2024-11-28 06:12:54.800,103.404679,-4.210079,0.641,0.0,1,-641.0,WCC
62,2024-11-28 08:31:19.540,103.373804,-4.235396,-0.1060000000000001,0.0,1,106.0000000000001,WCC
63,2024-11-30 01:29:55.980,103.350562,-4.241322,-0.11099999999999999,0.0,1,110.99999999999999,WCC
64,2024-12-01 19:48:09.640,103.357829,-4.24336,-0.3680000000000001,0.0,1,368.0000000000001,WCC
65,2024-12-02 20:05:19.000,103.359277,-4.243708,-0.278,0.0,1,278.0,WCC
67,2024-12-03 18:28:59.720,103.397202,-4.2024,-1.585,0.0,1,1585.0,Reloc
68,2024-12-04 01:55:52.340,103.373596,-4.2247,0.32299999999999995,0.0,1,-322.99999999999994,Reloc
69,2024-12-05 05:04:47.540,103.39834,-4.224061,1.307,0.0,1,-1307.0,WCC
70,2024-12-05 06:52:04.760,103.359009,-4.242277,-0.22799999999999998,0.0,1,227.99999999999997,WCC
71,2024-12-05 07:01:55.040,103.349569,-4.244191,0.673,0.0,1,-673.0,WCC
72,2024-12-05 14:13:51.760,103.399268,-4.223628,-0.09400000000000008,0.0,1,94.00000000000009,WCC
73,2024-12-05 14:13:57.550,103.402075,-4.218665,-0.43300000000000005,0.0,1,433.00000000000006,WCC
74,2024-12-05 14:14:17.100,103.394971,-4.224651,0.11299999999999999,0.0,1,-112.99999999999999,WCC
75,2024-12-05 18:21:14.560,103.4076,-4.2093,-1.67,0.0,1,1670.0,Reloc
76,2024-12-06 18:05:33.640,103.3526,-4.2375,-1.119,0.0,1,1119.0,Reloc
77,2024-12-07 11:50:40.730,103.382698,-4.2297,0.39400000000000013,0.0,1,-394.0000000000001,Reloc
78,2024-12-08 10:00:15.940,103.360156,-4.245156,-0.19999999999999996,0.0,1,199.99999999999994,WCC
79,2024-12-08 11:52:40.710,103.354599,-4.2396,-1.55,0.0,1,1550.0,Reloc
80,2024-12-08 16:19:23.400,103.358299,-4.2396,-1.621,0.0,1,1621.0,Reloc
81,2024-12-08 18:56:33.680,103.399894,-4.219086,0.4889999999999999,0.0,1,-488.9999999999999,WCC
